epoch,train_acc,val_acc,train_loss,val_loss
1,0.87,0.847,2.60,5.20
2,0.89,0.849,1.75,5.05
3,0.91,0.850,1.35,4.95
4,0.92,0.851,1.10,4.90
5,0.94,0.852,0.90,4.85
6,0.955,0.853,0.75,4.80
7,0.96,0.855,0.60,4.75
8,0.965,0.855,0.52,4.70
9,0.97,0.856,0.45,4.65
10,0.975,0.857,0.38,4.55
11,0.978,0.858,0.34,4.48
12,0.98,0.858,0.30,4.40
13,0.982,0.859,0.27,4.30
14,0.986,0.860,0.24,4.18
15,0.988,0.861,0.22,4.10
16,0.989,0.861,0.21,4.05
17,0.989,0.862,0.20,4.00
18,0.990,0.862,0.19,3.85
19,0.9905,0.863,0.18,3.70
20,0.991,0.864,0.17,3.55
21,0.9912,0.865,0.165,3.40
22,0.9915,0.866,0.155,3.20
23,0.9917,0.866,0.150,3.00
24,0.992,0.867,0.14,2.70
25,0.9923,0.868,0.13,2.40
26,0.9925,0.869,0.12,2.00
27,0.993,0.870,0.11,1.70
28,0.9932,0.872,0.10,1.40
29,0.993,0.873,0.095,1.20
30,0.9928,0.868,0.090,1.05
31,0.993,0.870,0.088,0.90
32,0.9932,0.875,0.085,0.80
33,0.9935,0.880,0.083,0.70
34,0.994,0.882,0.080,0.65
35,0.9945,0.883,0.075,0.60
